TestID,TestName,Answer
27,English,3
27,English,4
27,English,2
27,English,1
27,English,2
27,English,4
27,English,3
27,English,2
27,English,3
27,English,1
27,English,2
27,English,3
27,English,1
27,English,4
27,English,2
27,English,1
27,English,3
28,English,3
28,English,2
28,English,2
28,English,4
28,English,3
28,English,4
28,English,4
28,English,1
28,English,4
28,English,1
28,English,2
28,English,2
28,English,3
28,English,3
28,English,1
28,English,4
28,English,1
28,English,1
28,English,2
28,English,4
28,English,4
28,English,3
28,English,1
28,English,4
15,English,1
15,English,2
15,English,1
15,English,3
15,English,4
15,English,4
15,English,3
15,English,2
15,English,4
15,English,1
15,English,4
15,English,1
15,English,3
15,English,2
15,English,3
15,English,1
15,English,4
15,English,2
15,English,2
15,English,4
15,English,2
15,English,1
15,English,3
15,English,1
